VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State LGD Code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
District LGD Code,DistrictCode,Key Identifier,,0,,,,District LGD Code
District,DistrictName,Key Identifier,,0,,,,District
Sub-District LGD Code,SubDistrictCode,Key Identifier,,0,,,,Sub-District LGD Code
Sub-District,SubDistrictName,Key Identifier,,0,,,,Sub-District
ULB_RLB_Village LGD Code,ULB_RLB_VillageCode,Key Identifier,,0,,,,ULB_RLB_Village LGD Code
ULB_RLB_Village,ULB_RLB_VillageName,Key Identifier,,0,,,,ULB_RLB_Village
YearCode,YearCode,Key Identifier,"",0,"","","",YearCode
Year,Year,Key Identifier,"",0,"","","",Year
Gender,D7088_1,Key Identifier,"",,"","","",Gender
Residency Type ( Rural & Urban ),D7088_14,Key Identifier,"",,"","","",Residency Type ( Rural & Urban )
Cattle,I7088_8,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Cattle
Buffalos,I7088_9,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Buffalos
Sheeps,I7088_10,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Sheeps
Goats,I7088_11,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Goats
Pigs,I7088_12,Numeric Variable,Number,1,sum,Not Applicable,Not Applicable,Pigs
